LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Milano;1/9/2018;"19";"17";"22";"16";"86";"15";"5";"11";"0";"1015";"0";"0";"pioggia "
Milano;2/9/2018;"19";"16";"22";"16";"82";"16";"7";"17";"0";"1016";"0";"0";"pioggia "
Milano;3/9/2018;"21";"15";"26";"15";"72";"20";"6";"13";"0";"1014";"0";"0";"pioggia temporale "
Milano;4/9/2018;"21";"14";"28";"15";"74";"19";"5";"13";"0";"1013";"0";"0";""
Milano;5/9/2018;"22";"16";"29";"16";"70";"19";"5";"9";"0";"1015";"0";"0";""
Milano;6/9/2018;"22";"17";"28";"16";"72";"21";"6";"18";"0";"1012";"0";"0";"pioggia temporale "
Milano;7/9/2018;"21";"18";"26";"17";"78";"16";"5";"8";"0";"1012";"0";"0";"pioggia nebbia "
Milano;8/9/2018;"23";"17";"28";"17";"73";"19";"5";"9";"0";"1018";"0";"0";""
Milano;9/9/2018;"23";"16";"29";"17";"71";"19";"4";"8";"0";"1020";"0";"0";""
Milano;10/9/2018;"24";"18";"30";"18";"73";"20";"4";"9";"0";"1021";"0";"0";""
Milano;11/9/2018;"24";"18";"31";"18";"72";"18";"4";"9";"0";"1023";"0";"0";""
Milano;12/9/2018;"24";"18";"31";"19";"73";"20";"4";"8";"0";"1022";"0";"0";""
Milano;13/9/2018;"24";"19";"30";"18";"70";"14";"6";"18";"0";"1015";"0";"0";"pioggia "
Milano;14/9/2018;"24";"18";"29";"18";"73";"18";"6";"9";"0";"1015";"0";"0";""
Milano;15/9/2018;"23";"19";"27";"19";"75";"13";"7";"15";"0";"1019";"0";"0";""
Milano;16/9/2018;"24";"20";"28";"18";"72";"19";"8";"18";"0";"1022";"0";"0";""
Milano;17/9/2018;"22";"18";"28";"18";"76";"16";"6";"11";"0";"1021";"0";"0";""
Milano;18/9/2018;"23";"19";"28";"18";"76";"15";"4";"9";"0";"1019";"0";"0";""
Milano;19/9/2018;"22";"17";"28";"18";"78";"20";"4";"9";"0";"1019";"0";"0";"nebbia "
Milano;20/9/2018;"23";"17";"29";"18";"73";"17";"4";"9";"0";"1019";"0";"0";""
Milano;21/9/2018;"24";"17";"30";"17";"68";"18";"4";"9";"0";"1015";"0";"0";"nebbia "
Milano;22/9/2018;"25";"19";"30";"18";"66";"21";"6";"13";"0";"1015";"0";"0";""
Milano;23/9/2018;"23";"18";"29";"17";"67";"21";"7";"13";"0";"1017";"0";"0";""
Milano;24/9/2018;"24";"18";"29";"12";"50";"21";"17";"39";"0";"1016";"0";"0";""
Milano;25/9/2018;"18";"15";"21";"5";"46";"21";"11";"18";"0";"1031";"0";"0";""
Milano;26/9/2018;"15";"11";"19";"5";"51";"21";"9";"17";"0";"1037";"0";"0";""
Milano;27/9/2018;"15";"8";"24";"8";"66";"20";"3";"8";"0";"1030";"0";"0";"nebbia "
Milano;28/9/2018;"17";"9";"26";"9";"67";"19";"4";"9";"0";"1018";"0";"0";"nebbia "
Milano;29/9/2018;"19";"11";"26";"9";"55";"19";"8";"18";"0";"1018";"0";"0";""
Milano;30/9/2018;"18";"15";"22";"9";"55";"19";"8";"11";"0";"1018";"0";"0";""
